Received	time.monotonic	V-In (Channel 1)	V-Out (Channel 1)	V-Shunt (Channel 1)	I-Shunt (Channel 1)	Power-Calculated (Channel 1)	Power (Channel 1)	V-In (Channel 2)	V-Out (Channel 2)	V-Shunt (Channel 2)	I-Shunt (Channel 2)	Power-Calculated (Channel 2)	Power (Channel 2)
2/11/2023 3:28:09 PM	7687.62	5.14233	5.14	0.00233	0.0232	0.119248	0.12	5.11252	5.104	0.00852	0.0842	0.429756	0.429
2/11/2023 3:28:10 PM	7688.73	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11227	5.104	0.00827	0.079	0.403216	0.403
2/11/2023 3:28:11 PM	7689.83	5.14233	5.14	0.00233	0.0232	0.119248	0.12	5.11244	5.104	0.00844	0.0848	0.432819	0.433
2/11/2023 3:28:12 PM	7690.94	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11233	5.104	0.00833	0.0831	0.424142	0.424
2/11/2023 3:28:13 PM	7692.04	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11236	5.104	0.00836	0.0825	0.42108	0.421
2/11/2023 3:28:15 PM	7693.13	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11235	5.104	0.00835	0.0842	0.429756	0.429
2/11/2023 3:28:16 PM	7694.24	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.1124	5.104	0.0084	0.084	0.428736	0.428
2/11/2023 3:28:17 PM	7695.33	5.14633	5.144	0.00233	0.0233	0.119855	0.12	5.11238	5.104	0.00838	0.0843	0.430267	0.431
2/11/2023 3:28:18 PM	7696.44	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.11232	5.104	0.00832	0.0843	0.430267	0.431
2/11/2023 3:28:19 PM	7697.53	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11633	5.108	0.00833	0.0833	0.425496	0.429
2/11/2023 3:28:20 PM	7698.63	5.14633	5.144	0.00233	0.0233	0.119855	0.12	5.11239	5.104	0.00839	0.0837	0.427205	0.428
2/11/2023 3:28:21 PM	7699.74	5.14233	5.14	0.00233	0.0232	0.119248	0.12	5.1164	5.108	0.0084	0.0845	0.431626	0.428
2/11/2023 3:28:22 PM	7700.84	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11619	5.108	0.00819	0.0843	0.430604	0.431
2/11/2023 3:28:23 PM	7701.93	5.14633	5.144	0.00233	0.0232	0.119341	0.12	5.10833	5.1	0.00833	0.0833	0.42483	0.426
2/11/2023 3:28:24 PM	7703.04	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11197	5.104	0.00797	0.084	0.428736	0.429
2/11/2023 3:28:26 PM	7704.14	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11225	5.104	0.00825	0.0836	0.426694	0.428
2/11/2023 3:28:27 PM	7705.25	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.1164	5.108	0.0084	0.0839	0.428561	0.429
2/11/2023 3:28:28 PM	7706.35	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11252	5.104	0.00852	0.0852	0.43486	0.434
